id;title;description;category_slug;base_price;image_url;is_active;in_stock;stock_qty;price_override
;HQD 16000 Ежевика;;disposable;1500;HQD_16000_Ezhevika_v2;true;true;1;
;HQD 16000 Кислый Киви Кактус;;disposable;1500;HQD_16000_Kislyy_Kivi_Kaktus_v2;true;true;1;
;HQD 16000 Красный Мохито;;disposable;1500;HQD_16000_Krasnyy_Mohito_v2;true;true;1;
;HQD 16000 Манго;;disposable;1500;HQD_16000_Mango_v2;true;true;1;
;HQD 16000 Сладкий Мандарин;;disposable;1500;HQD_16000_Sladkiy_Mandarin_v2;true;true;1;
;HQD 16000 Тройная Ягода;;disposable;1500;HQD_16000_Troynaya_Yagoda_v2;true;true;1;
;HQD 16000 Хвойный Холодный Чай;;disposable;1500;HQD_16000_Hvoynyy_Holodnyy_Chay_v2;true;true;1;
;HQD 16000 Черная Смородина;;disposable;1500;HQD_16000_Chernaya_Smorodina_v2;true;true;1;
;HQD 16000 Черника;;disposable;1500;HQD_16000_Chernika_v2;true;true;1;
;Lost Mary BM 16000 Вишневый всплеск;;disposable;1400;Lost_Mary_BM16000_Vishnevyy_vsplesk_v2;true;true;1;
;Lost Mary BM 16000 Вишнёвый Сад;;disposable;1400;Lost_Mary_BM16000_Vishnevyy_Sad_v2;true;true;1;
;Lost Mary BM 16000 Кислое Яблоко Арбуз;;disposable;1400;Lost_Mary_BM16000_Kisloe_Yabloko_Arbuz_v2;true;true;1;
;Lost Mary BM 16000 Черная Смородина Виноград;;disposable;1400;Lost_Mary_BM16000_Chernaya_Smorodina_Vinograd_v2;true;true;1;
;Lost Mary BM 16000 Черника Роза Лёд;;disposable;1400;Lost_Mary_BM16000_Chernika_Roza_Led_v2;true;true;1;
;Lost Mary MO 30000 Вишня Лайм;;disposable;1500;Lost_Mary_MO30000_Vishnya_Laym_v2;true;true;1;
;Lost Mary MO 30000 Горная Мята;;disposable;1500;Lost_Mary_MO30000_Gornaya_Myata_v2;true;true;1;
;Lost Mary MO 30000 Гранатовый Всплеск;;disposable;1500;Lost_Mary_MO30000_Granatovyy_Vsplesk_v2;true;true;1;
;Lost Mary MO 30000 Грушевый Лимонад;;disposable;1500;Lost_Mary_MO30000_Grushevyy_Limonad_v2;true;true;1;
;Lost Mary MO 30000 Гуава Микс;;disposable;1500;Lost_Mary_MO30000_Guava_Miks_v2;true;true;1;
;Lost Mary MO 30000 Зелёное Манго Малина;;disposable;1500;Lost_Mary_MO30000_Zelenoe_Mango_Malina_v2;true;true;1;
;Lost Mary MO 30000 Киви Маракуйя Гуава;;disposable;1500;Lost_Mary_MO30000_Kivi_Marakuyya_Guava_v2;true;true;1;
;Lost Mary MO 30000 Кислый Ананас Лёд;;disposable;1500;Lost_Mary_MO30000_Kislyy_Ananas_Led_v2;true;true;1;
;Lost Mary MO 30000 Кислый Виноград Лёд;;disposable;1500;Lost_Mary_MO30000_Kislyy_Vinograd_Led_v2;true;true;1;
;Lost Mary MO 30000 Кислый Лимон Грейпфрут;;disposable;1500;Lost_Mary_MO30000_Kislyy_Limon_Greypfrut_v2;true;true;1;
;Lost Mary MO 30000 Клубника Киви;;disposable;1500;Lost_Mary_MO30000_Klubnika_Kivi_v2;true;true;1;
;Lost Mary MO 30000 Ледяной Арбуз;;disposable;1500;Lost_Mary_MO30000_Ledyanoy_Arbuz_v2;true;true;1;
;Lost Mary MO 30000 Манго Ягоды;;disposable;1500;Lost_Mary_MO30000_Mango_Yagody_v2;true;true;1;
;Lost Mary MO 30000 Черника Малина Лёд;;disposable;1500;Lost_Mary_MO30000_Chernika_Malina_Led_v2;true;true;1;
;ODENS Cold Dry;;tobacco;400;ODENS_Cold_Dry_v2;true;true;10;
;ODENS Double Mint;;tobacco;400;ODENS_Doule_Mint_v2;true;true;10;
;OGGO 2% Алоэ Виноград;;tobacco;450;OGGO_Aloe_Vinograd_v2;true;true;1;
;OGGO 5% Апельсин Вишня;;tobacco;500;OGGO_Apelsin_Vishnya_v2;true;true;1;
;OGGO 2% Виноградная Содовая;;tobacco;450;OGGO_Vinogradnaya_Sodovaya_v2;true;true;1;
;OGGO 5% Кислая Клюква Лимон;;tobacco;500;OGGO_Kislaya_Klyukva_Limon_v2;true;true;1;
;OGGO 5% Кислое Яблоко;;tobacco;500;OGGO_Kisloe_Yabloko_v2;true;true;1;
;OGGO 5% Кислые Яблочные Конфеты;;tobacco;500;OGGO_Kislye_Yablochnye_Konfety_v2;true;true;1;
;OGGO 2% Кислый Киви;;tobacco;450;OGGO_Kislyy_Kivi_v2;true;true;1;
;OGGO 5% Кислый Мандарин Киви;;tobacco;500;OGGO_Kislyy_Mandarin_Kivi_v2;true;true;1;
;OGGO 5% Клубника Банан;;tobacco;500;OGGO_Klubnika_Banan_v2;true;true;1;
;OGGO 5% Клюквенная Содовая;;tobacco;500;OGGO_Klyukvennaya_Sodovaya_v2;true;true;1;
;OGGO 5% Лайм Яблоко;;tobacco;500;OGGO_Laym_Yabloko_v2;true;true;1;
;OGGO 5% Маракуйя Апельсин Гуава;;tobacco;500;OGGO_Marakuyya_Apelsin_Guava_v2;true;true;1;
;OGGO 5% Персик Лёд;;tobacco;500;OGGO_Persik_Led_v2;true;true;1;
;OGGO 2% Сладкая Вишня;;tobacco;450;OGGO_Sladkaya_Vishnya_v2;true;true;1;
;OGGO 2% Сладкий Манго;;tobacco;450;OGGO_Sladkiy_Mango_v2;true;true;1;
;OGGO 5% Энергетик Киви Яблоко;;tobacco;500;OGGO_Energetik_Kivi_Yabloko_v2;true;true;1;
;Podonki Malasian Банан Маракуйя;;tobacco;450;Podonki_Malasian_Banan_Marakuyya_v2;true;true;2;
;Podonki Malasian Виногралный Лимонад;;tobacco;450;Podonki_Malasian_Vinogralnyy_Limonad_v2;true;true;2;
;Podonki Malasian Грейпфрут Гуава;;tobacco;450;Podonki_Malasian_Greypfrut_Guava_v2;true;true;2;
;Podonki Malasian Киви Ананас;;tobacco;450;Podonki_Malasian_Kivi_Ananas_v2;true;true;2;
;Podonki Malasian Малина Ежевика;;tobacco;450;Podonki_Malasian_Malina_Ezhevika_v2;true;true;2;
;Podonki Malasian Манго Клубника;;tobacco;450;Podonki_Malasian_Mango_Klubnika_v2;true;true;2;
;Podonki Malasian Черника Смородина;;tobacco;450;Podonki_Malasian_Chernika_Smorodina_v2;true;true;2;
;Podonki Malasian Яблоко Вишня;;tobacco;450;Podonki_Malasian_Yabloko_Vishnya_v2;true;true;2;
;Puffmi Flora 25000 Двойное Яблоко;;disposable;1600;Puffmi_Flora_25000_Dvoynoe_Yabloko_v2;true;true;1;
;Puffmi Flora 25000 Красный Грейпфрут;;disposable;1600;Puffmi_Flora_25000_Krasnyy_Greypfrut_v2;true;true;1;
;Puffmi Flora 25000 Лаймово Мятный Энергетик;;disposable;1600;Puffmi_Flora_25000_Laymovo_Myatnyy_Energetik_v2;true;true;1;
;Puffmi Flora 25000 Мохито Личи;;disposable;1600;Puffmi_Flora_25000_Mohito_Lichi_v2;true;true;1;
;RnM 23000 Арбуз Черника;;disposable;1100;RnM_23000_Arbuz_Chernika_v2;true;true;1;
;RnM 23000 Виноград Черника;;disposable;1100;RnM_23000_Vinograd_Chernika_v2;true;true;1;
;RnM 23000 Виноградная Газировка;;disposable;1100;RnM_23000_Vinogradnaya_Gazirovka_v2;true;true;1;
;RnM 23000 Земляничный Мохито;;disposable;1100;RnM_23000_Zemlyanichnyy_Mohito_v2;true;true;1;
;RnM 23000 Кислый Яблочный Лёд;;disposable;1100;RnM_23000_Kislyy_Yablochnyy_Led_v2;true;true;2;
;RnM 23000 Клубника Пина Колада;;disposable;1100;RnM_23000_Klubnika_Pina_Kolada_v2;true;true;2;
;RnM 23000 Кюквенная Содовая;;disposable;1100;RnM_23000_Kyukvennaya_Sodovaya_v2;true;true;1;
;RnM 23000 Малиновая Газировка;;disposable;1100;RnM_23000_Malinovaya_Gazirovka_v2;true;true;1;
;RnM 23000 Манго Клубника;;disposable;1100;RnM_23000_Mango_Klubnika_v2;true;true;1;
;RnM 23000 Персик Малина;;disposable;1100;RnM_23000_Persik_Malina_v2;true;true;1;
;RnM 23000 Фруктовый Скитлс;;disposable;1100;RnM_23000_Fruktovyy_Skitls_v2;true;true;1;
;RnM 23000 Черная Смородина;;disposable;1100;RnM_23000_Chernaya_Smorodina_v2;true;true;1;
;RnM 23000 Яблоко Клубника;;disposable;1100;RnM_23000_Yabloko_Klubnika_v2;true;true;1;
;RnM 23000 Ягодный Энергетик;;disposable;1100;RnM_23000_Yagodnyy_Energetik_v2;true;true;1;
;Vozol 20000 Манго Лёд;;disposable;1200;Vozol_20000_Mango_Led_v2;true;true;2;
;Vozol 20000 Смешанные Ягоды;;disposable;1200;Vozol_20000_Smeshannye_Yagody_v2;true;true;2;
;Vozol 20000 Черника Лёд;;disposable;1200;Vozol_20000_Chernika_Led_v2;true;true;2;
;Vozol 20000 Энергетик;;disposable;1200;Vozol_20000_Energetik_v2;true;true;2;
;WAKA 20000 Light Арбуз Лёд;;disposable;1600;WAKA_20000_Light_Arbuz_Led_v2;true;true;1;
;WAKA 20000 Light Виноград;;disposable;1600;WAKA_20000_Light_Vinograd_v2;true;true;1;
;WAKA 20000 Light Газированная Вишня Лайм;;disposable;1600;WAKA_20000_Light_Gazirovannaya_Vishnya_Laym_v2;true;true;1;
;WAKA 20000 Light Дыня;;disposable;1600;WAKA_20000_Light_Dynya_v2;true;true;1;
;WAKA 20000 Light Кислое Яблоко;;disposable;1600;WAKA_20000_Light_Kisloe_Yabloko_v2;true;true;1;
;WAKA 20000 Light Клубника;;disposable;1600;WAKA_20000_Light_Klubnika_v2;true;true;1;
;WAKA 20000 Light Клубника Киви;;disposable;1600;WAKA_20000_Light_Klubnika_Kivi_v2;true;true;1;
;WAKA 20000 Light Лимонад Черника Малина;;disposable;1600;WAKA_20000_Light_Limonad_Chernika_Malina_v2;true;true;1;
;WAKA 20000 Light Манго;;disposable;1600;WAKA_20000_Light_Mango_v2;true;true;1;
;WAKA 20000 Light Микс Ягод;;disposable;1600;WAKA_20000_Light_Miks_Yagod_v2;true;true;1;
;WAKA 20000 Light Ягодный Скитлс;;disposable;1600;WAKA_20000_Light_Yagodnyy_Skitls_v2;true;true;1;
;ГРЕХ Взрывная Малина Персик;;tobacco;450;GREH_Vzryvnaya_Malina_Persik_v2;true;true;2;
;ГРЕХ Кислый Чупачупс с Холодком;;tobacco;450;GREH_Kislyy_Chupachups_s_Holodkom_v2;true;true;2;
;ГРЕХ Клубника с Мятой и Лаймом;;tobacco;450;GREH_Klubnika_s_Myatoy_i_Laymom_v2;true;true;2;
;ГРЕХ Красное Ягодное Ассорти;;tobacco;450;GREH_Krasnoe_Yagodnoe_Assorti_v2;true;true;2;
;ГРЕХ Малиновая Энергия;;tobacco;450;GREH_Malinovaya_Energiya_v2;true;true;2;
;ГРЕХ Нектарин Персик;;tobacco;450;GREH_Nektarin_Persik_v2;true;true;2;
;ГРЕХ Ред Булл Лесные Ягоды;;tobacco;450;GREH_Red_Bull_Lesnye_Yagody_v2;true;true;2;
;ГРЕХ Скитлс;;tobacco;450;GREH_Skitls_v2;true;true;2;
;ГРЕХ Холодный Энергетик с Виноградом;;tobacco;450;GREH_Holodnyy_Energetik_s_Vinogradom_v2;true;true;2;
;ГРЕХ Черника Малина;;tobacco;450;GREH_Chernika_Malina_v2;true;true;2;
;Картридж XROS 0.4;;cartridge;350;Kartridzh_XROS_0_4_v2;true;true;8;
