id;title;description;category_slug;base_price;image_url;is_active;in_stock;stock_qty;price_override
;XROS 5 Jade Green;;pods;2750;XROS_5_Jade_Green;true;true;1;
;XROS 5 Violet Silk;;pods;2750;XROS_5_Violet_Silk;true;true;1;
;PASITO 3 Purple;;pods;4000;Pasito_3_Purple;true;true;1;
;PASITO 3 Blue;;pods;4000;Pastio_3_Blue;true;true;1;
;PASITO PRO Aquamrine;;pods;3000;Pasito_PRO_Aquamarine;true;true;1;
;PASITO PRO Red;;pods;3000;Pasito_PRO_Red;true;true;1;
;GEEKVAPE Aegis Boost 2 (B60) Bottle Green;;pods;3700;Geek_Vape_Aegis_Boost_2_Bottle_Green;true;true;1;
;GEEKVAPE AEGIS HERO 5 Blaze Red;;pods;3890;Geek_Vape_Aegis_Hero_5_Blaze_Red;true;true;1;
;Испаритель Aegis 0.2;;cartridge;350;Isparitel_Aegis_B_Series_0.2_Om_50_58W;true;true;10;
;Испаритель Aegis 0.6;;cartridge;350;Isparitel_Aegis_B_Series_0.6_Om_15_25_W;true;true;1;
;Картридж Aegis B60;;cartridge;450;Kartridzh_Aegis_B60;true;true;3;
;Испаритель Smoant;;cartridge;250;Isparitel_Smoant_K_4_0.2_Om_55_65W;true;true;3;
;KASTA 228 малиновая самоизоляция;;tobacco;400;Kasta_228_Malinovaya_Samoizolyatsiya;true;true;5;
;KASTA 228 хворь из лесных ягод;;tobacco;400;Kasta_228_Malinovaya_Hvor_Iz_Lesnyh_Yagod;true;true;1;
;ICEBERG cola;;tobacco;450;ICEBERG_Cola;true;true;4;
;ICEBERG bubble gum;;tobacco;450;ICEBERG_Bubble_Gum;true;true;5;
;ICEBERG guava lime;;tobacco;450;ICEBERG_Guava_Lime;true;true;6;
;ICEBERG mango banana;;tobacco;450;ICEBERG_Mango_Banana;true;true;4;
;SIBERIA White dry;;tobacco;400;SIBERIA_White_Dry;true;true;6;
;ODENS WHITE DRY SLIM;;tobacco;400;ODENS_EXTREME_Slim;true;true;1;
;ODENS ODENS COLD DRY;;tobacco;400;ODENS_Cold_Dry;true;true;1;
;ARQA манго нектарин;;tobacco;450;ARQA_Mango_Nektarin;true;true;2;
;ARQA манго клубника;;tobacco;450;ARQA_Mango_Klubnika;true;true;2;
;ARQA мармелад;;tobacco;450;ARQA_Marmelad;true;true;2;
;ARQA персик манго;;tobacco;450;ARQA_Persik_Mango;true;true;2;
;ARQA сладкая вишня;;tobacco;450;ARQA_Sladkaya_Vishnya;true;true;2;
;ARQA double mint;;tobacco;450;ARQA_Double_Mint;true;true;2;
;ARQA lemon;;tobacco;450;ARQA_Limon;true;true;2;
;ARQA original;;tobacco;450;ARQA_Original;true;true;2;
;ARQA spearmint;;tobacco;450;ARQA_Perechnaya_Myata;true;true;2;
;ARQA ваниль;;tobacco;450;ARQA_Vanil;true;true;2;
;ARQA дикая мята;;tobacco;450;AQRA_Dikaya_Myata;true;true;2;
;ARQA дыня кокос;;tobacco;450;ARQA_Dynya_Kokos;true;true;2;
;ARQA черная вишня;;tobacco;450;ARQA_Chernaya_Vishnya;true;true;1;
;ARQA барбарис;;tobacco;450;ARQA_Barbaris;true;true;1;
;ARQA ягодный лимонад;;tobacco;450;ARQA_Yagodnyy_Limonad;true;true;1;
;ARQA карамель;;tobacco;450;AQRA_Karamel;true;true;2;
;ARQA энергетик;;tobacco;450;ARQA_Energetik;true;true;1;
;LOST MARY nick pack ягодный микс;;tobacco;550;Lost_Mary_Nick_Pack_Yagodnyy_Miks;true;true;2;
;LOST MARY nick pack клубника;;tobacco;550;Lost_Mary_Nick_Pack_Klubinka;true;true;2;
;LOST MARY nick pack мята;;tobacco;550;Lost_Mary_Nick_Pack_Myata;true;true;1;
;LOST MARY nick pack манго;;tobacco;550;Lost_Mar_Nick_Pack_Mango;true;true;2;
;LYFT nick pack blueberry;;tobacco;350;LYFT_Nick_Pack_Blueberry;true;true;1;
;LYFT nick pack grape;;tobacco;350;LYFT_Nick_Pack_Grape;true;true;1;
;LYFT nick pack pineapple;;tobacco;350;LYFT_Nick_Pack_Pineapple;true;true;2;
;LYFT nick pack cola;;tobacco;350;LYFT_Nick_Pack_Cola;true;true;2;
;KASTA COVID nick pack малиновая самоизоляция;;tobacco;400;Kasta_Nick_Pack_Malinvaya_Samoizolyatsiya;true;true;1;
;KASTA COVID nick pack сливочно-клубничный вирус;;tobacco;400;Kasta_Nick_Pack_Klubnichno_Malinovyy_Virus;true;true;1;
;KASTA COVID nick pack грейпфрутовая вакцинация;;tobacco;400;Kasta_Nick_Pack_Greypfrutovaya_Vaktsinatsiya;true;true;1;
;PODONKI MAD citrus candy;;tobacco;400;PODONKI_MAD_Nick_Pack_Tsitrusovaya_Konfeta;true;true;2;
;PODONKI MAD mango guava ice;;tobacco;400;PODONKI_MAD_Nick_Pack_Mango_Guava_Led;true;true;2;
;PODONKI MAD banana strawberry;;tobacco;400;PODONKI_MAD_Nick_Pack_Klubnika_Banan;true;true;2;
;PODONKI MAD raspberry ice;;tobacco;400;PODONKI_MAD_Nick_Pack_Malina_Led;true;true;1;
;PODONKI MAD mint;;tobacco;400;PODONKI_MAD_Nick_Pack_Myata;true;true;1;
;PODONKI MAD lichee peach;;tobacco;400;PODONKI_MAD_Nick_Pack_Persik_Lichi;true;true;2;
